design_en,y,id
Amphora with ribbed surface and crooked handles containing two ears of corn and poppy.,"[('Amphora', 'OBJECT', 'holding', 'poppy', 'PLANT'), ('Amphora', 'OBJECT', 'holding', 'ears of corn', 'PLANT')]",0
"Half-nude Aphrodite standing facing, head left, holding apple in raised right hand.","[('Aphrodite', 'PERSON', 'holding', 'apple', 'PLANT')]",1
"Nude Aphrodite standing facing, head right, covering her breasts with right hand and pudenda with left hand; to left, Eros, riding a dolphin downwards.","[('Eros', 'PERSON', 'seated_on', 'dolphin', 'ANIMAL')]",2
"Nude Apollo standing facing, head left, left leg crossed over right, holding patera in outstretched right hand, left hand over serpent coiling around omphalos at his feet to right. Border of dots.","[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT'), ('serpent', 'ANIMAL', 'coiling', 'omphalos', 'OBJECT')]",3
"Artemis advancing right, wearing short fluttering chiton and boots, holding bow in left hand and drawing arrow from quiver at shoulder with right hand; at her feet, hound running right.","[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')]",4
"Artemis standing facing, head left, holding patera in outstretched right hand, left resting on long torch, with quiver over shoulder; hound at side to left; club to right.","[('Artemis', 'PERSON', 'holding', 'patera', 'OBJECT')]",5
"Artemis (Phosphorus) standing facing, head left, holding arrow in extended right hand and cradling long torch in left arm; at her feet, stag standing left.","[('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')]",6
"Artemis standing facing, head left, wearing short chiton and boots, holding patera in outstretched right hand and bow in left hand; at her feet, stag standing left.","[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boots', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT')]",7
"Artemis standing facing, head left, holding patera in outstretched right hand and torch in left arm; at her feet, stag standing right.","[('Artemis', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')]",8
"Asclepius reclining left, on winged serpent to right.","[('Asclepius', 'PERSON', 'resting_on', 'serpent', 'ANIMAL')]",9
"Athena enthroned left; throne decorated with Sphinx, left, front leg ends in lion’s paw; holding in right hand patera from which she feeds a serpent entwined around tree in front of her, leaning left arm on throne back; behind her, owl sitting left on a frontal shield.","[('Athena', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Athena', 'PERSON', 'feeding', 'serpent', 'ANIMAL'), ('Athena', 'PERSON', 'resting_on', 'throne', 'OBJECT'), ('owl', 'ANIMAL', 'seated_on', 'shield', 'OBJECT')]",10
"Athena standing left, holding spear in right hand; on ground shield to right in background and owl to left, head facing.","[('Athena', 'PERSON', 'holding', 'spear', 'OBJECT')]",11
"Two-handled cup; below, ear of corn.",[],12
"The three Charites (or Nymphs?) standing facing, left one head right, middle and right one, head left; wearing long garments, left, holding jar in right hand, right in left hand; the middle holding jar in right hand and ears of corn in left hand.","[('Charites', 'PERSON', 'wearing', 'garments', 'OBJECT'), ('Charites', 'PERSON', 'holding', 'jar', 'OBJECT'), ('Charites', 'PERSON', 'holding', 'ears of corn', 'PLANT')]",13
"Cybele reclining left on lion advancing right, holding uncertain object in right hand.","[('Cybele', 'PERSON', 'resting_on', 'lion', 'ANIMAL'), ('Cybele', 'PERSON', 'holding', 'object', 'OBJECT')]",14
"Turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on back; at her feet, lion lying, left.","[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT')]",15
"Veiled and turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on tympanon; at her feet, lion lying, left.","[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT')]",16
"Cybele enthroned left, wearing calathus, holding patera in outstretched right hand over lion in front of her, seated left, resting left arm on tympanum.","[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanum', 'OBJECT')]",17
"Veiled and turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on tympanon; beside throne, lion lying left, second lion seen in background behind throne, lying left.","[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT')]",18
"Turreted Cybele seated left, on lion jumping right, holding tympanum in right hand, left resting on long sceptre.","[('Cybele', 'PERSON', 'seated_on', 'lion', 'ANIMAL'), ('Cybele', 'PERSON', 'holding', 'tympanum', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'sceptre', 'OBJECT')]",19
"Veiled and draped bust of Demeter, right, wearing corn wreath.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')]",20
"Veiled and draped bust of Demeter, right, wearing corn wreath; in front two poppies.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')]",21
"Veiled head of Demeter, right, wearing corn wreath.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')]",22
"Veiled and draped bust of Demeter, right, wearing corn wreath, holding grain ear in raised left hand.","[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'grain ear', 'PLANT')]",23
"Demeter enthroned left between two torches, holding ears of corn in right hand, left resting on long torch.","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",24
"Demeter enthroned left, holding ears of corn in right hand, left resting on long torch (or sceptre?).","[('Demeter', 'PERSON', 'holding', 'ears of corn', 'PLANT'), ('Demeter', 'PERSON', 'resting_on', 'torch', 'OBJECT')]",25
