id,design_en,annotations
11477,"Bust of Constantius II, pearl-diademed, wearing consular robes, left, holding mappa in right hand and sceptre in left hand","[(0, 4, 'OBJECT'), (8, 22, 'PERSON'), (24, 29, 'OBJECT'), (57, 62, 'OBJECT'), (78, 83, 'OBJECT'), (102, 109, 'OBJECT')]"
11069,"Bust of Carinus, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand, or bust of Carinus, radiate, cuirassed, left, holding spear in right hand and shield in left hand","[(0, 4, 'OBJECT'), (8, 15, 'PERSON'), (17, 24, 'OBJECT'), (65, 70, 'ANIMAL'), (104, 108, 'OBJECT'), (112, 119, 'PERSON'), (121, 128, 'OBJECT'), (155, 160, 'OBJECT'), (179, 185, 'OBJECT')]"
17578,"Hexastyle temple, Sol standing in centre, raising right hand","[(10, 16, 'OBJECT'), (18, 21, 'PERSON')]"
13123,"Bust of Severus Alexander, laureate, draped, cuirassed, right; facing bust of Julia Mamaea, diademed, draped, left","[(0, 4, 'OBJECT'), (8, 25, 'PERSON'), (70, 74, 'OBJECT'), (78, 90, 'PERSON')]"
1350,"Laureate bust of Elagabalus, right, wearing cuirass; with aegis on left shoulder.","[(9, 13, 'OBJECT'), (17, 27, 'PERSON'), (44, 51, 'OBJECT'), (58, 63, 'OBJECT')]"
11197,"Bust of Constans, uncertain diadem, draped, cuirassed, left","[(0, 4, 'OBJECT'), (8, 16, 'PERSON'), (28, 34, 'OBJECT')]"
13311,"Bust of Trebonianus Gallus, right, and bust of Volusian, left, laureate, draped, cuirassed, facing one another","[(0, 4, 'OBJECT'), (8, 26, 'PERSON'), (39, 43, 'OBJECT'), (47, 55, 'PERSON')]"
22372,"The Three Monetae, all draped, standing front, heads left, each holding scales in extend right hand and cornucopiae in left hand; at feet, piles of coin","[(47, 52, 'OBJECT'), (72, 78, 'OBJECT'), (104, 115, 'OBJECT')]"
11695,"Bust of Domitian, radiate, left with aegis","[(0, 4, 'OBJECT'), (8, 16, 'PERSON'), (18, 25, 'OBJECT'), (37, 42, 'OBJECT')]"
1903,"Tyche enthroned right, wearing calathus, holding rudder in right hand and cornucopia in left arm. Border of dots.","[(0, 5, 'PERSON'), (49, 55, 'OBJECT'), (74, 84, 'OBJECT')]"
18520,"Liberalitas, standing left, holding pileus in right hand and rod in left","[(0, 11, 'PERSON'), (36, 42, 'OBJECT')]"
3560,Bridled horse prancing left.,"[(8, 13, 'ANIMAL')]"
11881,"Bust of Galla Placidia, pearl-diademed, draped, wearing necklace and earrings, cross on shoulder, crowned by Hand of God","[(0, 4, 'OBJECT'), (24, 29, 'OBJECT'), (56, 64, 'OBJECT'), (69, 77, 'OBJECT'), (79, 84, 'OBJECT')]"
12982,"Bust of Probus, radiate, draped, right or bust of Probus, radiate, cuirassed, right or bust of Probus, helmeted, radiate, cuirassed, left, sometimes seen from behind, holding spear in right hand and shield in left hand or bust of Probus, radiate, cuirassed, left, sometimes seen from behind, sometimes holding spear in right hand and shield in left hand","[(0, 4, 'OBJECT'), (8, 14, 'PERSON'), (16, 23, 'OBJECT'), (42, 46, 'OBJECT'), (50, 56, 'PERSON'), (58, 65, 'OBJECT'), (87, 91, 'OBJECT'), (95, 101, 'PERSON'), (113, 120, 'OBJECT'), (175, 180, 'OBJECT'), (199, 205, 'OBJECT'), (222, 226, 'OBJECT'), (230, 236, 'PERSON'), (238, 245, 'OBJECT'), (310, 315, 'OBJECT'), (334, 340, 'OBJECT')]"
24146,"Victory, winged, draped, standing left, supporting long jeweled cross; star in left and right field","[(0, 7, 'PERSON'), (64, 69, 'OBJECT'), (71, 75, 'OBJECT')]"
7384,"Agonistic table, surmounted by prize crown with two palm branches; below, apples.","[(10, 15, 'OBJECT'), (31, 42, 'OBJECT'), (52, 65, 'OBJECT'), (74, 80, 'PLANT')]"
4223,"Emperor (Geta) and city goddess facing each other, clasping right hands; to left, emperor (Geta) in military attire standing right, holding sceptre in left hand; to right, city goddess standing left, holding sceptre in left hand.","[(0, 7, 'PERSON'), (9, 13, 'PERSON'), (19, 31, 'PERSON'), (82, 89, 'PERSON'), (91, 95, 'PERSON'), (100, 115, 'OBJECT'), (140, 147, 'OBJECT'), (172, 184, 'PERSON'), (208, 215, 'OBJECT')]"
19308,"Maximian, draped, cuirassed, standing, holding sceptre in right hand, facing Hercules leaning on club in left hand, both sacrificing at altar","[(0, 8, 'PERSON'), (47, 54, 'OBJECT'), (77, 85, 'PERSON'), (97, 101, 'OBJECT'), (136, 141, 'OBJECT')]"
23213,"Venus, draped, standing left, extending right hand and holding sceptre in left hand","[(0, 5, 'PERSON'), (63, 70, 'OBJECT')]"
14093,"Commodus, togate, seated left, holding branch in right hand and sceptre in left hand","[(0, 8, 'PERSON'), (39, 45, 'OBJECT'), (64, 71, 'OBJECT')]"
16182,Front view of decastyle temple with statues on roof and in pediment,"[(24, 30, 'OBJECT'), (36, 43, 'OBJECT'), (47, 51, 'OBJECT'), (59, 67, 'OBJECT')]"
11726,"Bust of Eudoxia, rosette-diademed, draped, right, wearing necklace and earrings, crowned by Hand of God","[(0, 4, 'OBJECT'), (8, 15, 'PERSON'), (17, 24, 'OBJECT'), (58, 66, 'OBJECT'), (71, 79, 'OBJECT')]"
6287,"Apollo seated left, right hand raised behind the head, resting right arm on lyre set on tripod (?).","[(0, 6, 'PERSON'), (49, 53, 'OBJECT'), (76, 80, 'OBJECT'), (88, 94, 'OBJECT')]"
17088,"Head of Hadrian, laurate, traces of drapery on far shoulder, right","[(0, 4, 'OBJECT'), (8, 15, 'PERSON'), (36, 43, 'OBJECT')]"
16801,Hands clasped over aquila and standards,"[(19, 25, 'OBJECT'), (30, 39, 'OBJECT')]"
5983,"Agonistic table, surmounted by two inscribes wreaths; below, two palms.","[(10, 15, 'OBJECT'), (45, 52, 'OBJECT'), (65, 70, 'PLANT')]"
358,"Veiled Demeter standing facing, head left, wearing corn wreath and long garment, holding two ears of corn in right hand, left resting on sceptre. Short ground line. Border of dots.","[(7, 14, 'PERSON'), (32, 36, 'OBJECT'), (51, 62, 'OBJECT'), (72, 79, 'OBJECT'), (93, 105, 'PLANT'), (137, 144, 'OBJECT')]"
5629,Laureate head of Zeus Ammon left.,"[(9, 13, 'OBJECT'), (17, 21, 'PERSON')]"
22399,"Theodosius II, draped, cuirassed, standing front, holding standard in right hand and cross on globe in left hand; star in left field","[(0, 13, 'PERSON'), (58, 66, 'OBJECT'), (85, 90, 'OBJECT'), (94, 99, 'OBJECT'), (114, 118, 'OBJECT')]"
22498,"Titus and Domitian, togate, standing left and right, holding sceptres and clasping hands; Concordia center","[(0, 5, 'PERSON'), (10, 18, 'PERSON'), (61, 69, 'OBJECT'), (90, 99, 'PERSON')]"
8547,Hydria.,"[(0, 6, 'OBJECT')]"
18115,"Jupiter, nude, chlamys draped across left shoulder, standing left, holding Victory on globe in right hand and leaning on sceptre with left hand; to left, eagle with wreath; to right, captive","[(0, 7, 'PERSON'), (15, 22, 'OBJECT'), (75, 82, 'PERSON'), (86, 91, 'OBJECT'), (121, 128, 'OBJECT'), (154, 159, 'ANIMAL'), (165, 171, 'OBJECT')]"
7129,"Nude Helios standing in quadriga, right, extending right arm.","[(5, 11, 'PERSON'), (24, 32, 'OBJECT')]"
23726,"Victory, standing front on globe, right, star within crescent above; Bare-headed bust of Hispania, left, and Gallia, right, flanking, Cornucopia below Hispania, and shield below Gallia","[(0, 7, 'PERSON'), (27, 32, 'OBJECT'), (41, 45, 'OBJECT'), (53, 61, 'OBJECT'), (81, 85, 'OBJECT'), (89, 97, 'PERSON'), (109, 115, 'PERSON'), (134, 144, 'OBJECT'), (151, 159, 'PERSON'), (165, 171, 'OBJECT'), (178, 184, 'PERSON')]"
13488,"Bust to waist of Carus, laureate, draped, cuirassed, left, holding Victory on globe in right hand and parazonium in left hand","[(0, 4, 'OBJECT'), (17, 22, 'PERSON'), (67, 74, 'PERSON'), (78, 83, 'OBJECT'), (102, 112, 'OBJECT')]"
5530,"two lighted torches entwined by serpents; between, lighted altar surmounted by amphora","[(12, 19, 'OBJECT'), (32, 40, 'ANIMAL'), (59, 64, 'OBJECT'), (79, 86, 'OBJECT')]"
15764,"Female figure, draped, standing left by altar, holding patera in right hand and cornucopiae in left hand","[(0, 6, 'PERSON'), (7, 13, 'PERSON'), (40, 45, 'OBJECT'), (55, 61, 'OBJECT'), (80, 91, 'OBJECT')]"
841,"Bare head of Lucius Verus, right.","[(5, 9, 'OBJECT'), (13, 25, 'PERSON')]"
22301,Temple façade of two columns; cross on globe within,"[(0, 6, 'OBJECT'), (21, 28, 'OBJECT'), (30, 35, 'OBJECT'), (39, 44, 'OBJECT')]"
1234,"Crested Corinthian helmet surmounted by lion and with cheek-guard with a serpent, right.","[(19, 25, 'OBJECT'), (40, 44, 'ANIMAL'), (73, 80, 'ANIMAL')]"
17994,"Jupiter, chlamys spread behind, standing front, head left, holding thunderbolt in right hand and sceptre in left hand","[(0, 7, 'PERSON'), (9, 16, 'OBJECT'), (48, 52, 'OBJECT'), (67, 78, 'OBJECT'), (97, 104, 'OBJECT')]"
14384,"Constantine I, draped, cuirassed, seated left on cuirass and shield, holding zodiac with right hand, being crowned by Victory standing behind","[(0, 13, 'PERSON'), (49, 56, 'OBJECT'), (61, 67, 'OBJECT'), (77, 83, 'OBJECT'), (118, 125, 'PERSON')]"
10155,"Aeternitas, draped, with veil sown with stars, in circle behind head, standing, front, head left, holding globe on extended right hand, left hand holding veil left","[(25, 29, 'OBJECT'), (40, 45, 'OBJECT'), (64, 68, 'OBJECT'), (87, 91, 'OBJECT'), (106, 111, 'OBJECT'), (154, 158, 'OBJECT')]"
13452,"Bust of Virtus, helmeted and draped, right","[(0, 4, 'OBJECT'), (8, 14, 'PERSON')]"
2090,"Three nude Charites (or Nymphs?) standing facing, left nymph, head right, middle and right nymph, head left; holding each others shoulders. Ground line. Border of dots.","[(11, 19, 'PERSON'), (24, 30, 'PERSON'), (55, 60, 'PERSON'), (62, 66, 'OBJECT'), (91, 96, 'PERSON'), (98, 102, 'OBJECT')]"
11470,"Bust of Constantius II, pearl-diademed, draped, cuirassed, right; A behind bust; star in front of bust","[(0, 4, 'OBJECT'), (8, 22, 'PERSON'), (24, 29, 'OBJECT'), (75, 79, 'OBJECT'), (81, 85, 'OBJECT'), (98, 102, 'OBJECT')]"
19521,"Minerva, helmeted, standing right, holding spear reversed in right hand, left hand on shield","[(0, 7, 'PERSON'), (43, 48, 'OBJECT'), (86, 92, 'OBJECT')]"
18300,"Juventas, in short robe, standing left, holding branch; trophy, right","[(0, 8, 'PERSON'), (19, 23, 'OBJECT'), (48, 54, 'OBJECT'), (56, 62, 'OBJECT')]"
2023,"Bunch of grapes on vine branch; in right field, a fly.","[(9, 15, 'PLANT'), (19, 23, 'PLANT'), (24, 30, 'OBJECT'), (50, 53, 'ANIMAL')]"
18949,"Mars, helmeted, draped, cuirassed, chlamys spread, standing right, holding reversed vertical spear in right hand and resting left hand on shield","[(0, 4, 'PERSON'), (35, 42, 'OBJECT'), (93, 98, 'OBJECT'), (138, 144, 'OBJECT')]"
4651,"Emperor (Severus Alexander) with Isis (Pharia) and Serapis on galley to left; in the middle Emperor standing left, holding scepter in left hand and raising right hand; to left, Isis (Pharia) standing left, holding sail with both hands; to right, Serapis standing left, crowning emperor with right hand, holding rudder in left hand.","[(0, 7, 'PERSON'), (9, 26, 'PERSON'), (33, 37, 'PERSON'), (51, 58, 'PERSON'), (62, 68, 'OBJECT'), (92, 99, 'PERSON'), (123, 130, 'OBJECT'), (177, 181, 'PERSON'), (214, 218, 'OBJECT'), (246, 253, 'PERSON'), (278, 285, 'PERSON'), (311, 317, 'OBJECT')]"
15816,"Fides standing right, holding corn-ears and plate of fruits","[(30, 34, 'PLANT'), (35, 39, 'PLANT'), (53, 59, 'PLANT')]"
13122,"Bust of Severus Alexander, laureate, draped, cuirassed, right","[(0, 4, 'OBJECT'), (8, 25, 'PERSON')]"
19756,PLVR / NATAL / FEL within a wreath,"[(28, 34, 'OBJECT')]"
20792,"Roma, helmeted, draped, enthroned facing front, holding globe in right hand and inverted spear in left hand","[(0, 4, 'PERSON'), (56, 61, 'OBJECT'), (89, 94, 'OBJECT')]"
11589,"Bust of Diocletian, laureate, cuirassed, left, holding spear in right hand and shield in left hand","[(0, 4, 'OBJECT'), (8, 18, 'PERSON'), (55, 60, 'OBJECT'), (79, 85, 'OBJECT')]"
